module_id,path,module_size_class,runtime_role,pipeline_stage,current_responsibility,audit_status,robustness_score_0_to_5,ranking_pipeline_impact,finding_id,finding_summary,evidence,failure_mode,trigger_condition,current_observed_effect,worst_plausible_effect,row_integrity_impact,trading_safety_impact,severity,likelihood,detectability,recommended_fix,why_this_fix_is_needed,expected_benefit,what_behaviour_will_change,what_could_break_or_regress,compatibility_or_migration_risk,dependent_modules,prerequisites,recommended_tests,acceptance_criteria,estimated_effort,recommended_order,fix_now_or_later,confidence_in_recommendation
docs:agent_reviews:edge_55_tiny_runtime_home_freshness_panel_call.md,docs/agent_reviews/edge_55_tiny_runtime_home_freshness_panel_call.md,medium,ui_projection,ui_projection,ui_projection,PARTIALLY_VERIFIED,2,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_55_tiny_runtime_home_freshness_panel_call.md; lines=123; tests=covered_by:0; side_effects=ui_render,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,UI order equals canonical ranking order; displayed row maps to one ranked candidate; fallback rows non-actionable,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_56_home_freshness_failure_visibility.md,docs/agent_reviews/edge_56_home_freshness_failure_visibility.md,medium,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,2,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_56_home_freshness_failure_visibility.md; lines=125; tests=covered_by:0; side_effects=ui_render,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_57_fallback_advisory_only_entry_contract.md,docs/agent_reviews/edge_57_fallback_advisory_only_entry_contract.md,medium,option_chain_or_quote,option_chain_or_quote,option_chain_or_quote,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_57_fallback_advisory_only_entry_contract.md; lines=124; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_58_top_opportunity_executable_truth.md,docs/agent_reviews/edge_58_top_opportunity_executable_truth.md,small,ui_projection,ui_projection,ui_projection,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_58_top_opportunity_executable_truth.md; lines=106; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,UI order equals canonical ranking order; displayed row maps to one ranked candidate; fallback rows non-actionable,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_59_top_opportunity_truth_reader_wiring.md,docs/agent_reviews/edge_59_top_opportunity_truth_reader_wiring.md,small,ui_projection,ui_projection,ui_projection,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_59_top_opportunity_truth_reader_wiring.md; lines=102; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,UI order equals canonical ranking order; displayed row maps to one ranked candidate; fallback rows non-actionable,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_60_buy_pe_ce_directional_bias_audit.md,docs/agent_reviews/edge_60_buy_pe_ce_directional_bias_audit.md,medium,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,2,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_60_buy_pe_ce_directional_bias_audit.md; lines=210; tests=covered_by:0; side_effects=broker_or_market_adapter;ui_render,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_61_capital_selection_policy_contract.md,docs/agent_reviews/edge_61_capital_selection_policy_contract.md,medium,observability,observability,observability,PARTIALLY_VERIFIED,2,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_61_capital_selection_policy_contract.md; lines=230; tests=covered_by:0; side_effects=broker_or_market_adapter;ui_render,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_62_roadmap_reconciliation.md,docs/agent_reviews/edge_62_roadmap_reconciliation.md,medium,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_62_roadmap_reconciliation.md; lines=200; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_63_market_state_model.md,docs/agent_reviews/edge_63_market_state_model.md,medium,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_63_market_state_model.md; lines=132; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_64_regime_state_machine.md,docs/agent_reviews/edge_64_regime_state_machine.md,medium,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_64_regime_state_machine.md; lines=138; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_65_strategy_spec_registry.md,docs/agent_reviews/edge_65_strategy_spec_registry.md,medium,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_65_strategy_spec_registry.md; lines=143; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_66_strategy_quality_audit.md,docs/agent_reviews/edge_66_strategy_quality_audit.md,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_66_strategy_quality_audit.md; lines=113; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_67_strategy_hypothesis_contracts.md,docs/agent_reviews/edge_67_strategy_hypothesis_contracts.md,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_67_strategy_hypothesis_contracts.md; lines=115; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_68_replace_hardcoded_strategy_eligibility.md,docs/agent_reviews/edge_68_replace_hardcoded_strategy_eligibility.md,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_68_replace_hardcoded_strategy_eligibility.md; lines=114; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_69_candidate_intent_contract.md,docs/agent_reviews/edge_69_candidate_intent_contract.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_69_candidate_intent_contract.md; lines=68; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_69_strategy_registry_candidate_pool.md,docs/agent_reviews/edge_69_strategy_registry_candidate_pool.md,medium,scoring,scoring,scoring,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_69_strategy_registry_candidate_pool.md; lines=120; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_70_candidate_intent_pool_validator.md,docs/agent_reviews/edge_70_candidate_intent_pool_validator.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_70_candidate_intent_pool_validator.md; lines=68; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_70_candidate_normalization_dedup.md,docs/agent_reviews/edge_70_candidate_normalization_dedup.md,medium,scoring,scoring,scoring,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_70_candidate_normalization_dedup.md; lines=122; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_71_candidate_classification_layer.md,docs/agent_reviews/edge_71_candidate_classification_layer.md,small,scoring,scoring,scoring,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_71_candidate_classification_layer.md; lines=115; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_71_strategy_candidate_generators.md,docs/agent_reviews/edge_71_strategy_candidate_generators.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_71_strategy_candidate_generators.md; lines=68; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_72_breakout_strategy_rebuild.md,docs/agent_reviews/edge_72_breakout_strategy_rebuild.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_72_breakout_strategy_rebuild.md; lines=68; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_72_hard_downgrade_engine.md,docs/agent_reviews/edge_72_hard_downgrade_engine.md,small,scoring,scoring,scoring,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_72_hard_downgrade_engine.md; lines=117; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_73_candidate_readiness_summary.md,docs/agent_reviews/edge_73_candidate_readiness_summary.md,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_73_candidate_readiness_summary.md; lines=114; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_73_vwap_strategy_rebuild.md,docs/agent_reviews/edge_73_vwap_strategy_rebuild.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_73_vwap_strategy_rebuild.md; lines=68; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_74_mean_reversion_strategy_rebuild.md,docs/agent_reviews/edge_74_mean_reversion_strategy_rebuild.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_74_mean_reversion_strategy_rebuild.md; lines=68; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
docs:agent_reviews:edge_75_zero_hero_expiry_strategy_rebuild.md,docs/agent_reviews/edge_75_zero_hero_expiry_strategy_rebuild.md,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",docs/agent_reviews/edge_75_zero_hero_expiry_strategy_rebuild.md; lines=68; tests=covered_by:0; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,low,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
